2Dmemory	2Dmemory<br>二度半存储器
asterisk protection	asterisk protection<br>星号保护;［星点保护］
ASTLVL	ASTLVL<br>异步系统捕获级
asymmetric cryptosystem	asymmetric cryptosystem<br>非对称加密体制
asymmetric devices	asymmetric devices<br>非对称设备
asymmetric I/O	asymmetric I/O<br>非对称输入输出(设备)
asymmetric multiprocessing system	asymmetric multiprocessing system<br>非对称多重处理系统
asymmetric system	asymmetric system<br>非对称系统
asynchronous	asynchronous<br>【修】异步的
asynchronous attack	asynchronous attack<br>异步攻击法
asynchronous balanced mode (ABM)	asynchronous balanced mode (ABM)<br>异步平衡方式
asynchronous call	asynchronous call<br>异步调用;［异步呼叫］
asynchronous communications	asynchronous communications<br>异步通信技术［方法］
asynchronous communications interfaceadapter	asynchronous communications interfaceadapter<br>异步通信接口适配器;［异步通信介面配接器］
asynchronous computer	asynchronous computer<br>异步计算机
asynchronous data transfer	asynchronous data transfer<br>异步数据传送;［异步资料传送］
asynchronous dynamics	asynchronous dynamics<br>异步动态法
asynchronous execution	asynchronous execution<br>异步执行
asynchronous exit	asynchronous exit<br>异步出口例程
asynchronous exit routine	asynchronous exit routine<br>异步出口例行程序;［异步出口常式］
asynchronous flow	asynchronous flow<br>异步流
asynchronous input	asynchronous input<br>异步输入法
asynchronous machine	asynchronous machine<br>异步机器;［异步机］
asynchronous operation	asynchronous operation<br>异步操作;［异步运算］
asynchronous operator communication	asynchronous operator communication<br>异步操作员通信
asynchronous procedure	asynchronous procedure<br>异步过程;［异步程序］
asynchronous readahead	asynchronous readahead<br>异步提前读出(进程)
asynchronous record operation	asynchronous record operation<br>异步记录操作方式
asynchronous request	asynchronous request<br>异步请求
asynchronous response mode (ARM)	asynchronous response mode (ARM)<br>异步应答方式
asynchronous serial transmission	asynchronous serial transmission<br>异步串行传输(技术);［异步串列传输］
asynchronous signalling	asynchronous signalling<br>异步信号发送法
asynchronous system	asynchronous system<br>异步系统
asynchronous system trap (AST)	asynchronous system trap (AST)<br>异步系统捕获
asynchronous system trap level (ASTLVL)	asynchronous system trap level (ASTLVL)<br>异步系统捕获级
asynchronous terminal	asynchronous terminal<br>异步终端
asynchronous termination	asynchronous termination<br>异步终结
asynchronous transfer	asynchronous transfer<br>异步传送
asynchronous transmission	asynchronous transmission<br>异步传输法
asynchronous trap (AST)	asynchronous trap (AST)<br>异步捕获
asynchronous working	asynchronous working<br>异步操作
async mini modem	async mini modem<br>小型异步调制解调器
Atlantic Merchant Vessel Report (AMVER)	Atlantic Merchant Vessel Report (AMVER)<br>大西洋商业运载工具通报(系统)
ATLAS	ATLAS<br>ATLAS计算机
ATM	ATM<br>自动出纳［柜员］机
atom	atom<br>原子
atomic actions	atomic actions<br>原子动作
atomic formula	atomic formula<br>原子公式
ATPG system	ATPG system<br>自动测试码产生系统
ATS	ATS<br>管理终端系统;［行政终端系统］
attach	attach<br>附加,附属,【动】附加,连接;［附属事务］
attached processing	attached processing<br>联合处理
attached processor(AP)	attached processor(AP)<br>附加处理机［器］
attached support processor	attached support processor<br>附加增援处理机［器］
attachment unit interface(AUI)	attachment unit interface(AUI)<br>附加(单元)接口
attach terminal	attach terminal<br>附加终端
attack	attack<br>攻击
attacker	attacker<br>攻击者
attended time	attended time<br>值班时间
attended trail printer	attended trail printer<br>人工后联(式)打印机
attention	attention<br>注意信号;［关注］
attention flag	attention flag<br>注意标志;［关注旗标］
attention identification(AID)character	attention identification(AID)character<br>注意标识符;［关注识别号］
attention identifier (AID) character	attention identifier (AID) character<br>引起注意的标识符(AID)字符
attention interrupt	attention interrupt<br>注意中断;［关注间断］
attention interruption	attention interruption<br>注意中断;［关注间断］
attention key	attention key<br>注意键;［关注键］
attention line	attention line<br>注意(信号)线
attention list	attention list<br>注意表
attention signal	attention signal<br>注意信号;［关注信号］
attention symbol	attention symbol<br>引起注意符号;［关注符号］
attractor	attractor<br>吸引子
attractor neural network(ANN)	attractor neural network(ANN)<br>吸引子神经网络
attribute	attribute<br>属性
attribute byte	attribute byte<br>属性字节;［属性数元组］
attribute character	attribute character<br>属性字符;［属性字元］
attribute label	attribute label<br>属性标号
attribute name	attribute name<br>属性名
attribute properties	attribute properties<br>属性特性
attribute property list	attribute property list<br>属性特性表
attribute record	attribute record<br>属性记录
attributes	attributes<br>属性组
attribute simulation	attribute simulation<br>属性模拟
attribute/value pair	attribute/value pair<br>属性／值对
A-type address constant	A-type address constant<br>A型地址常数;［A型位址常数］
AU	AU<br>算术单元;［算术单元］
audible alarm	audible alarm<br>声音报警,音响报警;［音响报警器(信号)］
audio cassette interface	audio cassette interface<br>音频盒式磁带机接口;［录音盒分界面］
audio cassette recorder interface	audio cassette recorder interface<br>盒式录音机接口
audio disc	audio disc<br>音频磁盘
audio input device	audio input device<br>声音输入装置
audio inquiry	audio inquiry<br>声音询问
audio response	audio response<br>声音应答;［成音响应］
audio-response calculator	audio-response calculator<br>声音响应计算器
audio response message	audio response message<br>声音应答信息;［成音响应讯息］
audio response terminal	audio response terminal<br>声音应答终端;［成音响应终端］
audio response unit (ARU)	audio response unit (ARU)<br>声音应答装置;［成音响应器］
audiotape storage unit	audiotape storage unit<br>音频磁带存储单元
audio terminal	audio terminal<br>声音终端
Audio-Video Support System (AVSS)	Audio-Video Support System (AVSS)<br>音频视频支撑系统
audit	audit<br>审计;［监察］
audit program	audit program<br>审查［计］程序,检查程序;［审计程式,检查程式］
audit-review file	audit-review file<br>审查-检查文件
audit trail	audit trail<br>审计追踪,［检查］跟踪
augend	augend<br>被加数
augmented operation code	augmented operation code<br>扩充操作码;［扩大作业码］
AUI	AUI<br>附件(单元)接口
authentication	authentication<br>鉴别
authentication key	authentication key<br>鉴别密钥
authentication of message	authentication of message<br>信息鉴别;［讯息鉴别］
authentication of users	authentication of users<br>用户鉴别
authenticity	authenticity<br>可靠性
authoring system	authoring system<br>编写系统
authority	authority<br>权限,特许
authority credentials	authority credentials<br>权限凭证
